	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
CE	33097959.999999996	59363220.0	32634420.0	13057380.0	4984560.0	26012420.0	5297600.0	1240120.0	61945800.0	2125060.0	2727060.0	3876880.0000000005
DG	7055440.0	0.0	12112240.0	12304880.0	14785120.0	14177100.0	71389173.33333354	75779760.0	95856460.0	198352980.0	277136720.0	139350960.0
FC	156128700.0	171196760.0	213384920.0	152691280.0	144901400.0	160390860.0	364169866.6666665	234792040.0	244953800.0	202880020.0	310914940.0	273235760.0
PC	64588580.00000001	70548380.0	105536620.0	136876740.0	119996660.00000001	119563220.00000001	406149333.3333335	446870619.99999994	525004200.0	910025340.0	1473936800.0	703388840.0
PE	20058640.0	17187100.0	43055040.0	90968220.00000001	65226700.0	61084940.0	183601973.33333355	208990320.00000003	274578220.0	356251560.0	587624240.0	233744559.99999997
PG	0.0	0.0	0.0	2805320.0	1950480.0000000002	0.0	13773760.0	18848620.0	25362260.0	60001340.0	93045120.0	29654520.0
PS	12870760.0	13430620.0	19866000.0	23688700.0	15429260.0	11606560.0	48577386.66666665	87067260.0	74780440.0	76779080.0	121074240.0	42416919.99999999
TG	0.0	0.0	15381100.0	13141659.999999998	0.0	14821240.0	72737653.33333354	0.0	6194579.999999999	155568840.0	133294839.99999999	42224280.0
Neutral lipids	40153400.0	59363220.0	60127760.0	38503920.0	19769680.000000004	55010760.0	149424426.66666648	77019880.0	163996840.0	356046880.00000006	413158619.99999994	185452120.0
Phospholipids	97517980.0	101166100.0	168457660.0	254338980.0	202603100.0	192254720.0	652102453.3333354	761776820.0	899725120.0	1403057320.0	2275680400.0	1009204840.0
Free cholesterol	156128700.0	171196760.0	213384920.0	152691280.0	144901400.0	160390860.0	364169866.6666665	234792040.0	244953800.0	202880020.0	310914940.0	273235760.0
Sphingolipids	78007160.00000001	72077460.0	119527100.0	64161160.0	70722960.0	61807340.0	126837386.66666646	82618480.0	97993560.0	82082700.0	90781600.0	83690040.0
total	371807240.0	403803540.0	561497440.0	509695340.0	437997140.00000006	469463680.0	1292534133.3333352	1156207220.0	1406669320.0	2044066920.0	3090535560.0	1551582760.0
% Neutral lipids	10.7995207409087	14.7010152511293	10.7084655630843	7.55430096731903	4.51365504350097	11.7177882642593	11.5605787741415	6.66142527634449	11.6585211370075	17.4185530090179	13.3685120905064	11.9524478346228
% Phospholipids	26.2281014215861	25.0532969572283	30.0015009863625	49.900197243318	46.2567175666946	40.951990151826	50.4514686704341	65.8858383534398	63.9613807742675	68.6404787569284	73.6338526387964	65.0435713786869
% Free cholesterol	41.9918396424986	42.3960522981052	38.0028304314264	29.9573623725891	33.0827274351609	34.1647004513746	28.1748742470347	20.3070899349686	17.4137444044063	9.92531203430463	10.0602285255699	17.6101312185242
% Sphingolipids	20.9805381950066	17.8496354935373	21.2872030191269	12.588139416774	16.1468999546435	13.16552113254	9.81307830838974	7.14564643524714	6.96635368431864	4.01565619974908	2.93740674512737	5.39384956816612
Phospholipids (total)	97517980.0	101166100.0	168457660.0	254338980.0	202603100.0	192254720.0	652102453.3333354	761776820.0	899725120.0	1403057320.0	2275680400.0	1009204840.0
% PC	66.232483486635	69.7351978577804	62.6487510274095	53.8166583824469	59.2274550586837	62.19000501002	62.2830555623938	58.6616195541366	58.3516218820255	64.860168364326	64.7690598381038	69.6973312177139
% PE	20.5691709364776	16.9889913716156	25.5583747275131	35.766527018391	32.194324766008	31.7729208416834	28.1553876073952	27.4345864186311	30.5180119901509	25.3910909356148	25.8219141844347	23.1612603046969
% PG	0.0	0.0	0.0	1.10298468602807	0.962709849948002	0.0	2.1122079712464	2.47429686820872	2.81888984048817	4.27647104253731	4.08867255700757	2.93840445711695
% PS	13.1983455768875	13.275810770604	11.7928742450774	9.31382991313404	7.61551032536027	6.03707414829659	7.44934885896458	11.4294971590236	8.3114762873354	5.4722696575219	5.32035342045394	4.2030040204722
Neutral lipids (total)	40153400.0	59363220.0	60127760.0	38503920.0	19769680.000000004	55010760.0	149424426.66666648	77019880.0	163996840.0	356046880.00000006	413158619.99999994	185452120.0
% CE	82.4287856071964	100.0	54.2751301561874	33.9118198874296	25.2131546894032	47.2860582184285	3.54533734422003	1.61012974831952	37.7725570809779	0.596848370079805	0.66005158018971	2.0905018502889
% DAG	17.5712143928036	0.0	20.1441730076091	31.9574734208881	74.7868453105968	25.7715036112935	47.7761065749893	98.3898702516805	58.4501872109243	55.7097930474773	67.0775597033411	75.1412062585211
% TAG	0.0	0.0	25.5806968362034	34.1307066916823	0.0	26.942438170278	48.6785560807907	0.0	3.77725570809779	43.6933585824429	32.2623887164692	22.76829189119
Sphingolipids (total)	78007160.00000001	72077460.0	119527100.0	64161160.0	70722960.0	61807340.0	126837386.66666646	82618480.0	97993560.0	82082700.0	90781600.0	83690040.0
% Cer	3.17178576940886	2.09638352960828	2.67438932258877	3.30268343028711	3.46441947565543	4.00311678192266	3.87292747753449	4.28446517050423	3.23749846418479	4.12907957462413	3.97214854111406	3.52467270896274
% DHSM	0.779441271801204	0.977198697068404	1.06270460841098	1.01332332520173	0.69799114742935	0.535696892958021	0.961903556511834	1.74876129408336	1.80611868779948	2.0975430876421	3.53448275862069	2.58955545964609
% SM	96.0487729587899	96.9264177733233	96.2629060690002	95.6839932445111	95.8375893769152	95.4611863251193	95.1651689659537	93.9667735354124	94.9563828480157	93.7733773377338	92.4933687002653	93.8857718313911
