	mean_Ring 	mean_Trophozoite 	mean_Schizont 	reaction
CE	0.0	0.20999999999999996	0.0	2a
DAG	12.236666666666663	123.95222222222223	329.83000000000004	2a
FreeChol	0.0	167.88777777777761	136.39	2a
LPC	0.0	0.0	0.0	2a
PC	77.2833333333333	629.9655555555555	1576.2333333333333	2a
PE	75.84666666666666	324.95555555555563	607.5966666666666	2a
PG	2.6333333333333333	32.10666666666667	101.16333333333334	2a
PS	7.033333333333333	90.95111111111109	107.47666666666666	2a
TAG	7.213333333333335	35.1888888888889	174.80999999999995	2a
Cer	0.1933333333333332	2.463333333333332	1.54	2a
DHSM	0.0	1.0555555555555567	2.5300000000000002	2a
SM	0.006666666666666599	20.08333333333336	1.2700000000000005	2a
14:0	25.9565	146.04972222222224	369.956888888889	2b
18:0	32.47116666666667	258.1969444444445	587.916777777778	2b
16:0	35.30716666666667	310.83055555555563	752.9807222222223	2b
14:1	22.580833333333334	127.73314814814812	375.66050000000007	2b
18:1	65.08749999999999	396.4772222222222	1157.0615000000003	2b
16:1	37.98083333333334	232.34138888888887	649.9207222222223	2b
20:0	25.75183333333333	143.48722222222224	369.3189444444444	2b
20:1	37.67416666666667	228.5460185185185	635.3839444444446	2b
24:1	0.033333333333333215	6.455555555555542	0.43333333333333335	2b
24:2	0.08333333333333331	2.6222222222222333	0.7600000000000009	2b
25:0	0.006666666666666599	0.5566666666666666	0.32666666666666655	2b
15:0		0.02111111111110997		2b
17:0		0.15000000000000013	0.04666666666666666	2b
18:2		3.6	22.516666666666666	2b
22:0		0.17222222222223188	0.0833333333333333	2b
23:0		0.38000000000000034		2b
24:0		5.77777777777779	0.23666666666666658	2b
24:3		0.1266666666666667	0.016666666666666607	2b
25:1		0.14888888888888996		2b
26:0		0.21333333333333337		2b
26:1		0.4111111111111099	0.22999999999999976	2b
26:2		0.4322222222222235	0.2833333333333333	2b
19:0			0.03	2b
PC 34:3	1.4566666666666668	7.278888888888891	31.26	T
PC 36:3	1.9166666666666679	21.66444444444443	57.17999999999999	T
PC 36:4	1.873333333333333	23.415555555555564	47.03333333333333	T
PC 36:5	0.2833333333333332	5.895555555555557	13.476666666666668	T
PC 38:3	0.5666666666666665	6.80888888888889	11.919999999999998	T
PC 38:4	0.09999999999999876	15.558888888888898	26.363333333333333	T
PC 38:5	4.326666666666668	20.587777777777767	37.593333333333334	T
PC 38:6	-0.6900000000000004	7.263333333333331	12.39333333333333	T
PC 38:7	0.03333333333333344	-0.20333333333333314	2.5933333333333337	T
PC 40:4	0.0	0.3066666666666667	1.1033333333333333	T
PC 40:5	0.6433333333333333	8.85	11.11	T
PC 40:6	-0.12999999999999995	4.06	10.64	T
PC 40:7	0.42000000000000004	1.7966666666666666	4.343333333333333	T
PC O-38:4	-0.11666666666666659	0.3433333333333333	4.153333333333334	T
PC O-38:5	0.0	0.59	2.0733333333333333	T
PE 36:3	5.973333333333334	22.53	45.05666666666666	T
PE 36:4	8.686666666666666	40.507777777777775	49.633333333333326	T
PE 36:5	0.0	10.646666666666667	15.899999999999999	T
PE 38:3	0.0	0.0	2.5433333333333334	T
PE 38:4	6.24	20.39444444444444	30.68	T
PE 38:5	1.3733333333333322	27.316666666666663	34.81666666666667	T
PE 38:6	0.0	8.103333333333333	11.93	T
PE 40:5	0.0	5.46	12.446666666666667	T
PE 40:6	0.0	3.1199999999999997	8.950000000000001	T
PS 38:4	-4.510000000000002	15.243333333333332	13.590000000000003	T
PS 38:5	0.0	3.266666666666667	0.0	T
PS 40:5	0.0	6.516666666666667	2.7533333333333334	T
PS 40:6	1.5033333333333332	9.03	8.226666666666667	T
TAG 54:6	4.393333333333334	15.365555555555568	6.420000000000002	T
TAG 56:6	1.733333333333333	17.28333333333333	5.076666666666668	T
